01:28:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 52] Logger initialized
01:28:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:28:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 4.0) m/s
01:28:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 1.00
01:29:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 1.0) m/s
01:29:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: -1.00
01:29:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.6666666666666666) m/s
01:29:00: [ERROR] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 145] Could not run command
01:29:01: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:01: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.5) m/s
01:29:01: [ERROR] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 145] Could not run command
01:29:01: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:01: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.4) m/s
01:29:01: [ERROR] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 145] Could not run command
01:29:02: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:02: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.3333333333333333) m/s
01:29:02: [ERROR] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 145] Could not run command
01:29:02: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:02: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.2857142857142857) m/s
01:29:02: [ERROR] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 145] Could not run command
01:29:03: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:03: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 2.5, 0.25) m/s
01:29:03: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 63.43
01:29:03: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:03: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222) m/s
01:29:03: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 90.00
01:29:04: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:04: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 6.0, 0.2) m/s
01:29:04: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 116.57
